Year ,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
2002,44113,422920,2,0,1,1,0,0,0,0,0,0
2002,44114,422920,4,1,2,0,0,1,0,0,0,0
2002,44115,422920,3,0,1,2,0,0,0,0,0,0
2002,44114,422930,1,1,0,0,0,0,0,0,0,0
2002,44115,422930,2,0,0,1,1,0,0,0,0,0
2002,44114,422940,1,1,0,0,0,0,0,0,0,0
2002,44114,422950,2,1,0,1,0,0,0,0,0,0
2002,44115,422950,2,0,0,0,0,0,1,1,0,0
2002,44113,422990,3,2,1,0,0,0,0,0,0,0
2002,44114,422990,4,2,0,2,0,0,0,0,0,0
2002,44115,422990,1,0,0,0,0,1,0,0,0,0
2002,44114,441110,1,1,0,0,0,0,0,0,0,0
2002,44115,441110,3,2,0,0,0,1,0,0,0,0
2002,44113,441120,2,2,0,0,0,0,0,0,0,0
2002,44113,441222,2,0,1,1,0,0,0,0,0,0
2002,44114,441222,2,0,1,1,0,0,0,0,0,0
2002,44113,441310,2,1,1,0,0,0,0,0,0,0
2002,44114,441310,3,0,0,2,1,0,0,0,0,0
2002,44114,441320,6,1,0,5,0,0,0,0,0,0
2002,44115,441320,2,0,0,2,0,0,0,0,0,0
2002,44113,442110,8,5,2,1,0,0,0,0,0,0
2002,44114,442110,4,1,0,3,0,0,0,0,0,0
2002,44115,442110,4,1,1,0,2,0,0,0,0,0
2002,44113,442210,1,0,0,1,0,0,0,0,0,0
2002,44114,442210,1,1,0,0,0,0,0,0,0,0
2002,44115,442210,1,1,0,0,0,0,0,0,0,0
2002,44115,442291,1,0,0,1,0,0,0,0,0,0
2002,44113,442299,3,3,0,0,0,0,0,0,0,0
2002,44114,442299,3,2,0,0,1,0,0,0,0,0
2002,44113,443112,3,3,0,0,0,0,0,0,0,0
2002,44114,443112,6,6,0,0,0,0,0,0,0,0
2002,44115,443112,1,0,0,0,1,0,0,0,0,0
2002,44113,443120,1,0,1,0,0,0,0,0,0,0
2002,44114,443120,2,1,0,1,0,0,0,0,0,0
2002,44114,443130,3,2,1,0,0,0,0,0,0,0
2002,44115,443130,2,1,0,1,0,0,0,0,0,0
2002,44115,444120,2,0,2,0,0,0,0,0,0,0
2002,44114,444130,1,0,0,0,1,0,0,0,0,0
2002,44113,444190,3,0,1,2,0,0,0,0,0,0
2002,44114,444190,2,0,0,0,1,1,0,0,0,0
2002,44113,445110,14,13,1,0,0,0,0,0,0,0
2002,44114,445110,9,4,1,1,2,0,0,1,0,0
2002,44115,445110,5,2,2,0,1,0,0,0,0,0
2002,44113,445120,9,9,0,0,0,0,0,0,0,0
2002,44114,445120,3,1,1,1,0,0,0,0,0,0
2002,44113,445210,22,18,4,0,0,0,0,0,0,0
2002,44113,445220,2,2,0,0,0,0,0,0,0,0
2002,44113,445230,10,10,0,0,0,0,0,0,0,0
2002,44113,445291,5,4,1,0,0,0,0,0,0,0
2002,44113,445292,2,0,2,0,0,0,0,0,0,0
2002,44114,445292,2,2,0,0,0,0,0,0,0,0
2002,44113,445299,7,5,1,0,1,0,0,0,0,0
2002,44113,445310,2,1,1,0,0,0,0,0,0,0
2002,44114,445310,4,2,2,0,0,0,0,0,0,0
2002,44115,445310,3,2,1,0,0,0,0,0,0,0
2002,44113,446110,1,1,0,0,0,0,0,0,0,0
2002,44114,446110,2,0,0,0,2,0,0,0,0,0
2002,44115,446110,1,0,0,1,0,0,0,0,0,0
2002,44113,446120,4,1,1,0,2,0,0,0,0,0
2002,44114,446120,2,2,0,0,0,0,0,0,0,0
2002,44115,446120,1,1,0,0,0,0,0,0,0,0
2002,44113,446130,1,1,0,0,0,0,0,0,0,0
2002,44114,446130,2,1,0,0,0,1,0,0,0,0
2002,44115,446130,1,0,1,0,0,0,0,0,0,0
2002,44114,446191,4,3,0,0,1,0,0,0,0,0
2002,44113,447110,2,1,0,1,0,0,0,0,0,0
2002,44114,447110,2,0,1,1,0,0,0,0,0,0
2002,44115,447110,2,1,1,0,0,0,0,0,0,0
2002,44113,447190,4,2,2,0,0,0,0,0,0,0
2002,44115,447190,2,0,2,0,0,0,0,0,0,0
2002,44113,448110,7,3,2,2,0,0,0,0,0,0
2002,44114,448110,4,3,1,0,0,0,0,0,0,0
2002,44115,448110,4,2,2,0,0,0,0,0,0,0
2002,44113,448120,10,0,6,2,2,0,0,0,0,0
2002,44114,448120,5,2,3,0,0,0,0,0,0,0
2002,44115,448120,2,0,2,0,0,0,0,0,0,0
2002,44113,448130,3,0,0,3,0,0,0,0,0,0
2002,44114,448130,1,1,0,0,0,0,0,0,0,0
2002,44113,448140,5,1,0,0,4,0,0,0,0,0
2002,44114,448140,2,0,0,2,0,0,0,0,0,0
2002,44115,448140,1,0,1,0,0,0,0,0,0,0
2002,44113,448150,3,2,1,0,0,0,0,0,0,0
2002,44114,448150,3,3,0,0,0,0,0,0,0,0
2002,44115,448150,3,2,0,0,1,0,0,0,0,0
2002,44113,448190,2,0,0,1,1,0,0,0,0,0
2002,44114,448190,2,0,2,0,0,0,0,0,0,0
2002,44115,448190,1,0,1,0,0,0,0,0,0,0
2002,44113,448210,6,1,3,2,0,0,0,0,0,0
2002,44114,448210,4,1,2,1,0,0,0,0,0,0
2002,44115,448210,2,1,1,0,0,0,0,0,0,0
2002,44113,448310,4,2,2,0,0,0,0,0,0,0
2002,44114,448310,6,5,0,1,0,0,0,0,0,0
2002,44115,448310,8,5,2,1,0,0,0,0,0,0
2002,44115,448320,2,1,0,1,0,0,0,0,0,0
2002,44113,451110,3,2,0,1,0,0,0,0,0,0
2002,44114,451110,1,1,0,0,0,0,0,0,0,0
2002,44113,451120,1,1,0,0,0,0,0,0,0,0
2002,44113,451211,2,0,1,1,0,0,0,0,0,0
2002,44114,451211,1,0,1,0,0,0,0,0,0,0
2002,44115,451211,5,4,0,0,1,0,0,0,0,0
