Zip Code,City Name,City Type Zip,County,State,Lat,Lng,Zip Code Status,Zip Check
43440,LKSID MARBLHD,postal_code,Ottawa County,OH,41.5401268,-82.7433192,OK,43440
43441,Lemoyne,postal_code,Wood County,OH,41.4951109,-83.4707257,OK,43441
43442,Lindsey,postal_code,None,OH,41.4314542,-83.2184763,OK,43442
43443,Luckey,postal_code,Wood County,OH,41.4609483,-83.4696898,OK,43443
43445,None,postal_code,None,OH,41.5758428,-83.3041061,OK,43445
43446,Middle Bass,postal_code,Ottawa County,OH,41.6826764,-82.8128918,OK,43446
43447,Millbury,postal_code,None,OH,41.5586869,-83.43767489999999,OK,43447
43449,Oak Harbor,postal_code,None,OH,41.5365328,-83.1434573,OK,43449
43450,Pemberville,postal_code,Wood County,OH,41.4076239,-83.4963567,OK,43450
43451,Portage,postal_code,Wood County,OH,41.3149386,-83.624201,OK,43451
43452,Port Clinton,postal_code,Ottawa County,OH,41.4889702,-83.01465259999999,OK,43452
43456,Put-in-Bay,postal_code,Ottawa County,OH,41.6512811,-82.82636149999999,OK,43456
43457,Risingsun,postal_code,None,OH,41.264161,-83.4323375,OK,43457
43458,Rocky Ridge,postal_code,Ottawa County,OH,41.5337031,-83.21252989999999,OK,43458
43460,Rossford,postal_code,None,OH,41.6056979,-83.5656379,OK,43460
43462,Rudolph,postal_code,Wood County,OH,41.2807925,-83.7305392,OK,43462
43463,Stony Ridge,postal_code,Wood County,OH,41.5092602,-83.5065204,OK,43463
43464,Vickery,postal_code,None,OH,41.40401920000001,-82.92864279999999,OK,43464
43465,Walbridge,postal_code,Wood County,OH,41.5483045,-83.517682,OK,43465
43466,Wayne,postal_code,Wood County,OH,41.2889972,-83.517682,OK,43466
43467,West Millgrove,postal_code,Wood County,OH,41.2438157,-83.4923574,OK,43467
43468,Williston,postal_code,Ottawa County,OH,41.6018787,-83.3405312,OK,43468
43469,Woodville,postal_code,None,OH,41.46012400000001,-83.3682539,OK,43469
43501,Alvordton,postal_code,Williams County,OH,41.6775938,-84.46976629999999,OK,43501
43502,Archbold,postal_code,None,OH,41.5195989,-84.2910759,OK,43502
43504,Berkey,postal_code,None,OH,41.685131,-83.8366958,OK,43504
43505,Blakeslee,postal_code,Williams County,OH,41.525004,-84.7309033,OK,43505
43506,Bryan,postal_code,None,OH,41.4520535,-84.54318669999999,OK,43506
43510,Colton,postal_code,Henry County,OH,41.4652217,-83.95226459999999,OK,43510
43511,Custar,postal_code,None,OH,41.2653821,-83.81547909999999,OK,43511
43512,Defiance,postal_code,None,OH,41.2650829,-84.3962535,OK,43512
43515,Delta,postal_code,Fulton County,OH,41.5842084,-83.99558789999999,OK,43515
43516,Deshler,postal_code,None,OH,41.2204222,-83.91089680000002,OK,43516
43517,Edgerton,postal_code,None,OH,41.4617811,-84.75244819999999,OK,43517
43518,Edon,postal_code,Williams County,OH,41.5814078,-84.75244819999999,OK,43518
43519,Stryker,postal_code,Defiance County,OH,41.4253294,-84.3959251,OK,43519
